protagonistCoordinates,antagonistCoordinates,independent
0,1,0
0.00000000000010058620603103918,1,1
0,1,2
0.00000000010060174915338393,0.9999999998989958,3
0,0.9999999998988952,4
0.0000000010046096177163122,1,5
0,0.9999999998992976,6
0,1,7
0,1,8
0,1,9
0.0000000002971777268712117,1,10
0,1,11
0,1,12
0.00000000020130419553510137,0.9999999998989958,13
0.00000000019999635281209294,1,14
0.7936109223980228,1,15
0.00000000000020117241206207837,1,16
0.00000000000643851638670867,1,17
0,0.9999999998995994,18
0.000002385523147130364,1,19
0,0.9999999997990981,20
0,1,21
0,1,22
0,1,23
0.000000000299491542676833,1,24
0.8020927855064148,1,25
0.0000000005021035809349428,1,26
0,0.9999999999008066,27
0.0000000000007042144645197368,1,28
0,0.9999999999990946,29
